,PDBname,affinity
589,5orv,2.89
590,6b7b,2.89
591,6f6s,2.89
592,6mvu,2.89
593,3c2u,2.9
594,5aom,2.9
595,5dv2,2.9
596,1ms0,2.91
597,2ay4,2.91
598,2pri,2.91
599,4kc1,2.91
600,1eef,2.92
601,1h2k,2.92
602,1o4k,2.92
603,1p6e,2.92
604,1zp5,2.92
605,2aa9,2.92
606,2aay,2.92
607,2fkf,2.92
608,2fw6,2.92
609,2fwp,2.92
610,2kfg,2.92
611,3alt,2.92
612,3iaf,2.92
613,3k8c,2.92
614,4ai5,2.92
615,4ef6,2.92
616,4lm3,2.92
617,4u4s,2.92
618,4x14,2.92
619,4y2q,2.92
620,4zki,2.92
621,5c0k,2.92
622,5ct2,2.92
623,5x4m,2.92
624,6fv4,2.92
625,1tng,2.93
626,3ftv,2.93
627,4zv2,2.93
628,1p6d,2.94
629,2vmc,2.94
630,4y62,2.95
631,1f4e,2.96
632,1w1t,2.96
633,1ykp,2.96
634,2br6,2.96
635,2kdh,2.96
636,2w8j,2.96
637,3g34,2.96
638,3imc,2.96
639,3img,2.96
640,4bgy,2.96
641,4dst,2.96
642,4k3l,2.96
643,4mrg,2.96
644,4owm,2.96
645,5fng,2.96
646,6r9x,2.96
647,2hw2,2.97
648,4ceb,2.97
649,5flq,2.97
650,2rnw,2.98
651,3ckb,2.98
652,3djq,2.98
653,4ibc,2.98
654,5aba,2.98
655,5aqu,2.98
656,3ump,2.99
657,4a4g,2.99
658,4bps,2.99
659,1ecq,3.0
660,1hqg,3.0
661,1mcz,3.0
662,1ux7,3.0
663,1w7h,3.0
664,1wbg,3.0
665,1wbo,3.0
666,1ws4,3.0
667,1yc5,3.0
668,1z9h,3.0
669,1zm7,3.0
670,2f1b,3.0
671,2h2e,3.0
672,2q8h,3.0
673,2r0y,3.0
674,2rka,3.0
675,2v3u,3.0
676,2vin,3.0
677,2vtm,3.0
678,2wa3,3.0
679,2xgm,3.0
680,2xgo,3.0
681,2xp3,3.0
682,2ych,3.0
683,3ap7,3.0
684,3d9o,3.0
685,3eka,3.0
686,3grj,3.0
687,3ime,3.0
688,3nf8,3.0
689,3nk8,3.0
690,3ob0,3.0
691,4b2i,3.0
692,4fe9,3.0
693,4k0o,3.0
694,4k5z,3.0
695,4k64,3.0
696,4k72,3.0
697,4l51,3.0
698,4l5j,3.0
699,4lkh,3.0
700,4llk,3.0
701,4m5r,3.0
702,4o7d,3.0
703,4oyp,3.0
704,4oz2,3.0
705,4r3w,3.0
706,4txs,3.0
707,4u0w,3.0
708,4wh9,3.0
709,5a5o,3.0
710,5aqr,3.0
711,5c7b,3.0
712,5ehw,3.0
713,5fnq,3.0
714,5jah,3.0
715,5l97,3.0
716,5lz2,3.0
717,5tpc,3.0
718,5u66,3.0
719,5ye8,3.0
720,6fh6,3.0
721,6fh7,3.0
722,6ftz,3.0
723,6gjy,3.0
724,6n17,3.0
725,6quv,3.0
726,1g42,3.01
727,1utm,3.01
728,4g0p,3.01
729,5jan,3.01
730,2vmd,3.02
731,3dc2,3.02
732,3fuk,3.02
733,4q81,3.02
734,4xm8,3.02
735,5z4h,3.02
736,6f6n,3.02
737,6n19,3.02
738,1ogd,3.03
739,1ws5,3.03
740,2ggu,3.03
741,2ha3,3.03
742,3adv,3.03
743,3esj,3.03
744,4lm2,3.03
745,4qp2,3.03
746,5aoi,3.03
747,1rtf,3.04
748,2pcu,3.04
749,3ay0,3.04
750,3t08,3.04
751,3t1m,3.04
752,3zvv,3.04
753,4i7k,3.04
754,4lm4,3.04
755,5fls,3.04
756,1f74,3.05
757,1gvk,3.05
758,1gzg,3.05
759,1o41,3.05
760,1pum,3.05
761,1uj5,3.05
762,1uj6,3.05
763,2ohl,3.05
764,2vcw,3.05
765,4g5f,3.05
766,4guj,3.05
767,4u5v,3.05
768,5abe,3.05
769,5ort,3.05
770,6ncn,3.05
771,2jfh,3.06
772,2ksa,3.06
773,3atm,3.06
774,3hw1,3.06
775,3rxi,3.06
776,3rxj,3.06
777,4csy,3.06
778,4nyi,3.06
779,1rnm,3.07
780,1s26,3.07
781,3mof,3.07
782,4yrs,3.07
783,6fh3,3.07
784,1hiy,3.08
785,1y1z,3.08
786,4yv1,3.08
787,5ehv,3.08
788,6ew6,3.08
789,1mdl,3.09
790,1ugw,3.09
791,4eh5,3.09
792,6pml,3.09
793,1a5v,3.1
794,1af2,3.1
795,1ec9,3.1
796,1pu7,3.1
797,1pu8,3.1
798,1swi,3.1
799,2xdl,3.1
800,3buf,3.1
801,3f78,3.1
802,3mo8,3.1
803,4cjr,3.1
804,4j79,3.1
805,4kz6,3.1
806,4pl6,3.1
807,4pxf,3.1
808,4y2j,3.1
809,4y64,3.1
810,5aqq,3.1
811,5cr7,3.1
812,5eh8,3.1
813,5ggo,3.1
814,5lzg,3.1
815,5lzh,3.1
816,5orw,3.1
817,1k2i,3.11
818,1uod,3.11
819,2ay6,3.11
820,2lto,3.11
821,2lwi,3.11
822,3c2r,3.11
823,3msj,3.11
824,4aj1,3.11
825,4ajk,3.11
826,4d52,3.11
827,4gbz,3.11
828,4wf4,3.11
829,5enb,3.11
830,1h9l,3.12
831,2ksb,3.12
832,4bt3,3.12
833,4cgi,3.12
834,4uct,3.12
835,5ey4,3.12
836,1ax0,3.13
837,3kac,3.13
838,5c5t,3.13
839,6d1k,3.13
840,6dhu,3.13
841,6die,3.13
842,6qhg,3.13
843,2f1a,3.14
844,2ya7,3.14
845,3odk,3.14
846,4b34,3.14
847,6cea,3.14
848,6g27,3.14
849,1e6q,3.15
850,1eei,3.15
851,1k9q,3.15
852,1noi,3.15
853,1noj,3.15
854,1nok,3.15
855,1rin,3.15
856,2fr8,3.15
857,2p8n,3.15
858,3cgy,3.15
859,3e73,3.15
860,4de5,3.15
861,4fzj,3.15
862,4lw1,3.15
863,4x0z,3.15
864,5e5g,3.15
865,5flo,3.15
866,5fnf,3.15
867,6a87,3.15
868,6cc9,3.15
869,6ccx,3.15
870,6cyh,3.15
871,2ymd,3.16
872,3ad8,3.16
873,3ecn,3.16
874,3f34,3.16
875,3f35,3.16
876,3kpu,3.16
877,3lk0,3.16
878,4eh2,3.16
879,4pli,3.16
880,5n1x,3.16
881,4hnc,3.17
882,4uce,3.17
883,4x3i,3.17
884,5fot,3.17
885,5fox,3.17
886,5ose,3.17
887,6cv8,3.17
888,1b9s,3.18
889,1lbk,3.18
890,1ro7,3.18
891,2wik,3.18
892,3at1,3.18
893,3bug,3.18
894,3kid,3.18
895,1o6i,3.19
896,2zdx,3.19
897,3dxh,3.19
898,3g1v,3.19
899,4gzx,3.19
900,4mlx,3.19
901,6dyn,3.19
902,6f6i,3.19
903,6pvy,3.19
904,6ssy,3.19
905,1axz,3.2
906,2nd0,3.2
907,2w0x,3.2
908,2wij,3.2
909,3kab,3.2
910,4nrm,3.2
911,5cs6,3.2
912,5d9p,3.2
913,5flp,3.2
914,5ijr,3.2
915,1s5z,3.21
916,3fty,3.21
917,5mwo,3.21
918,5osd,3.21
919,6tim,3.21
920,1br6,3.22
921,1e6s,3.22
922,1e72,3.22
923,1evh,3.22
924,1ew9,3.22
925,1k1y,3.22
926,1q5l,3.22
927,1qwu,3.22
928,1tog,3.22
929,1x6u,3.22
930,1zc9,3.22
931,2bv4,3.22
932,2ri9,3.22
933,2uy3,3.22
934,3aru,3.22
935,3i8t,3.22
936,4n5d,3.22
937,4tyl,3.22
938,4wn0,3.22
939,5go2,3.22
940,5n1y,3.22
941,5ou2,3.22
942,1px4,3.23
943,2gmk,3.23
944,3zsy,3.23
945,4kc4,3.23
946,4lm1,3.23
947,4unp,3.23
948,5ene,3.23
949,5qay,3.23
950,2r8q,3.24
951,3qfz,3.24
952,4b2l,3.24
953,4k60,3.24
954,4luo,3.24
955,4qlk,3.24
956,4y2u,3.24
957,5o0a,3.24
958,6er3,3.24
959,6g9b,3.24
960,1v2j,3.25
961,2ndo,3.25
962,3ta1,3.25
963,4lm0,3.25
964,4zij,3.25
965,5oxl,3.25
966,1l5s,3.26
967,3t1l,3.26
968,4egh,3.26
969,4k66,3.26
970,4wkt,3.26
971,5yas,3.26
972,1axr,3.27
973,3ioe,3.27
974,4jbl,3.27
975,5jzs,3.27
976,5kdf,3.27
977,1bcu,3.28
978,1g9t,3.28
979,1x07,3.28
980,2xgs,3.28
981,3d52,3.28
982,3ms4,3.28
983,3tfu,3.28
984,3zsx,3.28
985,4eh7,3.28
986,4fl1,3.28
987,4yv0,3.28
988,5moe,3.28
989,5odu,3.28
990,5yf1,3.28
991,5z4o,3.28
992,1ax1,3.29
993,4f20,3.29
994,5duw,3.29
995,6ibk,3.29
996,1d7j,3.3
997,1k9r,3.3
998,1lt6,3.3
999,1o4e,3.3
1000,1phw,3.3
1001,1tpw,3.3
1002,1zd2,3.3
1003,1zd3,3.3
1004,2aq7,3.3
1005,2aqb,3.3
1006,2hd1,3.3
1007,2uxx,3.3
1008,2vw2,3.3
1009,2w0s,3.3
1010,2xml,3.3
1011,3aaq,3.3
1012,3avg,3.3
1013,3avh,3.3
1014,3avi,3.3
1015,3avj,3.3
1016,3avk,3.3
1017,3avm,3.3
1018,3avn,3.3
1019,3ch9,3.3
1020,3gv6,3.3
1021,3h2c,3.3
1022,3hcm,3.3
1023,3i90,3.3
1024,3i91,3.3
1025,3l7g,3.3
1026,3n1v,3.3
1027,3n1w,3.3
1028,3n3l,3.3
1029,3n45,3.3
1030,4b6f,3.3
1031,4ddh,3.3
1032,4gj8,3.3
1033,4gj9,3.3
1034,4j58,3.3
1035,4jss,3.3
1036,4mrw,3.3
1037,4msa,3.3
1038,4np3,3.3
1039,4ojq,3.3
1040,4oue,3.3
1041,4tz8,3.3
1042,4u6e,3.3
1043,4ucr,3.3
1044,4x13,3.3
1045,5ejw,3.3
1046,5g45,3.3
1047,5ggp,3.3
1048,5l96,3.3
1049,5mgg,3.3
1050,5mgl,3.3
1051,5mgm,3.3
1052,5mt0,3.3
1053,5mt4,3.3
1054,5oul,3.3
1055,5v19,3.3
1056,5vdo,3.3
1057,5vdr,3.3
1058,5vds,3.3
1059,6bsx,3.3
1060,6hov,3.3
1061,1i2s,3.31
1062,1pzp,3.31
1063,3msc,3.31
1064,4kc2,3.31
1065,5c7a,3.31
1066,5fe7,3.31
1067,5l98,3.31
1068,5os1,3.31
1069,1pzo,3.32
1070,2wk6,3.32
1071,4a4e,3.32
1072,4cjp,3.32
1073,4i7j,3.32
1074,5gmu,3.32
1075,5l99,3.32
1076,5tg4,3.32
1077,6dlx,3.32
1078,6efj,3.32
1079,6mey,3.32
1080,6oh3,3.32
1081,6pg3,3.32
1082,6phx,3.32
1083,188l,3.33
1084,1jlr,3.33
1085,2a3b,3.33
1086,2pnc,3.33
1087,4ab9,3.33
1088,4b0b,3.33
1089,4b5t,3.33
1090,4b5w,3.33
1091,4k2y,3.33
1092,4pd9,3.33
1093,6mv3,3.33
1094,6sy7,3.33
1095,2xoi,3.34
1096,3f33,3.34
1097,3ry8,3.34
1098,4b32,3.34
1099,4bt4,3.34
1100,4cp5,3.34
1101,4gwk,3.34
1102,4yuy,3.34
1103,5ehi,3.34
1104,2qcm,3.35
1105,3c2o,3.35
1106,3pwk,3.35
1107,3zxe,3.35
1108,4gnf,3.35
1109,4joh,3.35
1110,4lkq,3.35
1111,4u7o,3.35
1112,4ucu,3.35
1113,4wet,3.35
1114,5wxp,3.35
1115,5ze6,3.35
1116,6mmo,3.35
1117,6q6f,3.35
1118,1ahy,3.36
1119,2ha7,3.36
1120,2pvv,3.36
1121,2vc7,3.36
1122,3av9,3.36
1123,3zzh,3.36
1124,4cj4,3.36
1125,4wyp,3.36
1126,5orz,3.36
1127,6gj5,3.36
1128,6gxw,3.36
1129,187l,3.37
1130,1tnh,3.37
1131,1v2u,3.37
1132,1v2v,3.37
1133,2c6g,3.37
1134,2n8t,3.37
1135,3d8z,3.37
1136,3n35,3.37
1137,4b33,3.37
1138,4mrd,3.37
1139,6mnv,3.37
1140,1z34,3.38
1141,2fzg,3.38
1142,3a73,3.38
1143,3tay,3.38
1144,3w07,3.38
1145,4qll,3.38
1146,5l8o,3.38
1147,1toj,3.39
1148,2j9h,3.39
1149,3mrx,3.39
1150,4ipn,3.39
1151,4lhm,3.39
1152,4ms0,3.39
1153,5jzb,3.39
1154,5lsh,3.39
1155,5mxk,3.39
1156,5os5,3.39
1157,6pic,3.39
1158,1bxr,3.4
1159,1f8d,3.4
1160,1hxk,3.4
1161,1ikt,3.4
1162,1il9,3.4
1163,1jt1,3.4
1164,1l83,3.4
1165,1m83,3.4
1166,1uz4,3.4
1167,1way,3.4
1168,220l,3.4
1169,223l,3.4
1170,2jbu,3.4
1171,2jqk,3.4
1172,2q8i,3.4
1173,2qcd,3.4
1174,2rnx,3.4
1175,3d8y,3.4
1176,3jzh,3.4
1177,3k26,3.4
1178,4abe,3.4
1179,5afl,3.4
1180,5o4t,3.4
1181,5qaw,3.4
1182,5qaz,3.4
1183,5uah,3.4
1184,6fg6,3.4
1185,6gzy,3.4
1186,6uhu,3.4
1187,2v2c,3.41
1188,3nba,3.41
1189,4yas,3.41
1190,6byk,3.41
1191,6ce8,3.41
1192,6m7i,3.41
1193,6pht,3.41
1194,1hyz,3.42
1195,2qtn,3.42
1196,2sim,3.42
1197,2w08,3.42
1198,3iob,3.42
1199,3kqp,3.42
1200,3muk,3.42
1201,3px9,3.42
1202,4c71,3.42
1203,4d8a,3.42
1204,4llj,3.42
1205,4mi9,3.42
1206,4n8q,3.42
1207,5i38,3.42
1208,5yij,3.42
1209,1kti,3.43
1210,1ywi,3.43
1211,2c57,3.43
1212,2wig,3.43
1213,2xog,3.43
1214,3axz,3.43
1215,3ms7,3.43
1216,4k67,3.43
1217,4kw6,3.43
1218,5aqv,3.43
1219,5ehg,3.43
1220,5osl,3.43
1221,2xp5,3.44
1222,3as2,3.44
1223,4b4n,3.44
1224,4umc,3.44
1225,5wi0,3.44
1226,6exs,3.44
1227,6mdq,3.44
1228,3nik,3.45
1229,4c6z,3.45
1230,5ory,3.45
1231,1moq,3.46
1232,1t48,3.46
1233,1wcc,3.46
1234,2wi2,3.46
1235,2wi3,3.46
1236,3blu,3.46
1237,3dla,3.46
1238,3muz,3.46
1239,3nil,3.46
1240,3nuy,3.46
1241,4bhf,3.46
1242,4gby,3.46
1243,4k5p,3.46
1244,4nrq,3.46
1245,4qp6,3.46
1246,4tz2,3.46
1247,5qal,3.46
1248,6hgr,3.46
1249,6phz,3.46
1250,6q4e,3.46
1251,3mtd,3.47
1252,3nf7,3.47
1253,3ta0,3.47
1254,4d2d,3.47
1255,4epy,3.47
1256,4h42,3.47
1257,5ai4,3.47
1258,5ma7,3.47
1259,6pvz,3.47
1260,1osv,3.48
1261,1tsi,3.48
1262,2c90,3.48
1263,2f10,3.48
1264,2p3i,3.48
1265,3d9m,3.48
1266,3g1d,3.48
1267,3gx0,3.48
1268,3nyd,3.48
1269,4k7n,3.48
1270,5eh7,3.48
1271,5fni,3.48
1272,5qaj,3.48
1273,5xg5,3.48
1274,5z9e,3.48
1275,5zlf,3.48
1276,1c5o,3.49
1277,1gzc,3.49
1278,1pzj,3.49
1279,1utn,3.49
1280,2ggx,3.49
1281,2qcf,3.49
1282,3d1v,3.49
